id_juguete,categoria,marca,precio,edad_recomendada,num_piezas,rating,num_resenas,fecha_lanzamiento,superventas
95,Tecnología,FunLab,28.77,7,276,2.6,390,2021-01-29 09:20:42,0
96,Tecnología,RoboToy,36.51,7,623,3.3,3853,2023-08-07 08:13:40,0
97,Tecnología,StarFun,29.68,7,515,4.5,4430,2022-08-03 07:13:42,1
98,Mesa,RoboToy,48.38,12,1373,3.2,628,2022-11-13 15:13:34,0
99,Construcción,StarFun,9.48,12,842,3.1,4232,2018-02-25 16:20:33,0
100,Mesa,EduKids,76.1,5,1469,3.0,2930,2018-09-29 18:24:35,0
101,Mesa,StarFun,43.7,3,349,3.8,1521,2020-09-03 00:29:01,0
102,Construcción,FunLab,80.41,7,822,4.9,826,2018-11-26 20:49:16,0
103,Construcción,EduKids,49.32,11,1160,3.6,4822,2019-01-07 05:21:32,0
104,Construcción,FunLab,83.39,3,758,3.9,1500,2019-03-08 21:35:07,0
105,Construcción,HappyBlocks,44.17,5,898,4.7,3294,2018-11-14 10:38:30,1
106,Tecnología,MegaPlay,34.98,6,242,3.8,2419,2018-10-08 00:16:01,0
107,Educativos,StarFun,62.04,3,542,3.0,934,2023-01-16 04:13:19,0
108,Educativos,MegaPlay,84.68,3,1063,3.2,3042,2020-12-09 15:41:00,0
109,Construcción,MegaPlay,45.06,10,228,3.3,4497,2019-11-24 15:24:10,0
110,Educativos,StarFun,112.71,4,547,3.5,1466,2023-12-12 15:38:24,0
111,Educativos,EduKids,9.51,14,919,3.6,3561,2018-12-05 16:51:28,0
112,Construcción,HappyBlocks,53.06,10,1246,4.5,614,2019-05-03 08:07:58,0
113,Educativos,FunLab,116.27,9,5,3.4,1182,2018-03-26 06:38:25,0
114,Mesa,RoboToy,68.02,12,1345,3.7,3223,2019-03-24 16:13:47,0
115,Muñecos,FunLab,53.7,12,467,4.1,2667,2019-03-27 23:48:15,0
116,Muñecos,RoboToy,70.38,4,74,3.4,130,2023-06-11 16:24:55,0
117,Construcción,FunLab,71.23,8,3,4.6,2983,2018-11-04 04:19:56,1
118,Tecnología,StarFun,89.14,8,645,4.0,4278,2022-01-23 14:56:34,0
119,Construcción,HappyBlocks,19.68,5,117,3.2,4459,2018-06-21 10:29:03,0
120,Tecnología,RoboToy,33.75,13,880,4.3,38,2024-01-21 03:28:05,0
121,Muñecos,EduKids,71.76,4,503,3.8,3959,2022-07-16 11:41:06,0
122,Construcción,FunLab,104.72,14,946,3.8,3587,2019-07-03 04:48:29,0
123,Exterior,FunLab,69.61,3,573,3.7,920,2020-07-05 01:07:18,0
124,Mesa,RoboToy,32.44,8,1464,3.7,2769,2023-08-14 08:56:41,0
125,Educativos,EduKids,83.18,14,193,4.4,4111,2021-06-21 05:08:47,0
126,Tecnología,EduKids,90.09,7,846,2.8,492,2021-10-05 01:44:01,0
127,Exterior,StarFun,32.4,13,714,3.3,1131,2021-12-31 02:21:50,0
128,Educativos,StarFun,48.44,11,1415,2.7,3521,2020-05-02 14:11:39,0
129,Educativos,StarFun,66.45,3,1049,4.4,310,2019-01-14 21:16:43,0
130,Construcción,StarFun,62.1,9,1458,3.2,738,2018-07-03 20:52:52,0
131,Educativos,StarFun,49.81,7,172,4.7,3241,2023-06-12 21:27:56,1
132,Mesa,StarFun,39.23,7,1323,3.8,545,2023-04-14 02:31:49,0
133,Exterior,HappyBlocks,16.5,4,325,4.5,2461,2024-08-20 13:09:39,1
134,Educativos,EduKids,11.15,13,1433,4.9,4346,2018-01-20 04:11:11,1
135,Construcción,StarFun,115.23,5,1141,4.6,4854,2020-11-02 15:55:15,0
136,Mesa,EduKids,102.42,9,835,4.7,1804,2018-09-23 07:21:21,0
137,Muñecos,EduKids,45.81,8,723,3.5,3212,2019-05-03 01:20:03,0
138,Exterior,MegaPlay,115.03,14,224,3.9,3810,2024-12-08 09:54:34,0
139,Educativos,HappyBlocks,82.83,4,531,3.1,813,2023-08-19 21:23:11,0
140,Construcción,StarFun,60.49,8,112,3.0,4124,2020-10-24 14:45:36,0
141,Muñecos,FunLab,61.7,4,139,3.8,2032,2020-11-09 03:14:19,0
142,Muñecos,RoboToy,14.58,4,558,4.0,4572,2018-08-30 02:59:33,0
143,Tecnología,FunLab,15.55,4,0,3.3,4413,2020-11-13 11:52:48,0
144,Mesa,HappyBlocks,74.28,13,89,3.9,244,2020-09-04 19:46:17,0
145,Educativos,RoboToy,68.68,5,653,4.7,4843,2022-11-29 05:49:41,1
146,Construcción,HappyBlocks,29.46,4,319,3.9,4792,2022-07-18 11:32:16,0
147,Tecnología,EduKids,113.81,6,138,4.3,271,2019-08-30 04:30:47,0
148,Mesa,RoboToy,94.85,11,844,4.5,3511,2024-03-23 20:22:18,0
149,Tecnología,EduKids,18.05,8,258,5.0,1771,2023-06-08 04:02:25,1
150,Exterior,FunLab,112.06,3,901,4.0,1262,2022-11-25 00:30:55,0
151,Mesa,FunLab,117.04,10,689,4.5,2424,2024-12-12 19:42:38,0
152,Mesa,RoboToy,119.53,14,9,4.9,4361,2022-04-09 19:14:36,0
153,Educativos,RoboToy,11.43,9,260,4.9,920,2019-02-25 11:08:59,1
154,Mesa,StarFun,89.76,12,171,2.9,3430,2021-01-27 03:24:42,0
155,Tecnología,HappyBlocks,67.78,5,897,3.5,4435,2018-09-10 20:06:58,0
156,Mesa,StarFun,86.17,3,12,3.3,4484,2022-05-05 13:14:27,0
157,Educativos,HappyBlocks,116.39,7,1191,2.7,2624,2019-02-15 18:22:52,0
158,Educativos,StarFun,84.12,6,320,4.1,3760,2019-03-05 02:49:47,0
159,Exterior,EduKids,101.25,12,1342,4.3,2050,2021-05-07 05:20:06,0
160,Tecnología,RoboToy,104.69,10,328,4.6,3500,2018-06-05 09:38:36,0
161,Muñecos,FunLab,101.43,3,784,2.8,1165,2021-01-04 18:25:14,0
162,Muñecos,HappyBlocks,54.0,12,776,4.7,375,2019-03-25 00:51:44,0
163,Mesa,HappyBlocks,30.6,3,910,4.1,2033,2019-07-07 07:00:21,0
164,Exterior,FunLab,50.61,14,1442,4.3,145,2024-12-17 08:11:58,0
165,Construcción,StarFun,107.57,6,1118,4.8,4388,2018-11-09 11:03:59,0
166,Mesa,HappyBlocks,21.86,10,317,4.1,431,2020-10-11 11:00:02,0
167,Exterior,EduKids,64.03,7,235,3.3,704,2018-05-05 17:03:06,0
168,Tecnología,RoboToy,31.82,4,333,4.6,2632,2018-02-21 04:13:10,1
169,Tecnología,FunLab,71.85,8,375,3.4,4494,2019-02-22 16:49:29,0
170,Tecnología,RoboToy,104.26,7,1482,2.6,963,2022-08-15 01:56:49,0
171,Tecnología,HappyBlocks,106.24,4,1160,4.6,2234,2021-03-20 11:42:37,0
172,Tecnología,HappyBlocks,32.22,13,587,3.4,2041,2022-03-23 23:27:29,0
173,Exterior,FunLab,109.38,13,512,4.4,1828,2018-12-05 05:02:59,0
174,Exterior,EduKids,73.07,13,1319,3.4,2108,2024-12-19 05:40:32,0
175,Educativos,MegaPlay,45.28,5,1343,4.7,4068,2023-05-28 04:19:46,1
176,Muñecos,FunLab,86.44,11,917,3.0,938,2019-11-22 07:51:40,0
177,Tecnología,MegaPlay,60.39,9,1372,4.9,4805,2023-09-05 09:42:00,1
178,Construcción,StarFun,48.47,9,872,4.4,806,2023-04-05 00:00:38,1
179,Exterior,MegaPlay,86.08,13,1252,2.8,1463,2021-09-05 08:59:58,0
180,Construcción,EduKids,33.6,8,269,3.9,3415,2024-02-06 11:52:22,0
181,Construcción,StarFun,42.98,10,797,5.0,10,2019-10-30 03:35:56,0
182,Construcción,MegaPlay,54.96,6,1314,3.7,1868,2018-11-04 07:41:16,0
183,Educativos,StarFun,34.17,10,724,3.0,4867,2024-08-01 16:56:42,0
184,Exterior,MegaPlay,51.6,6,1188,3.7,884,2022-07-12 20:11:31,0
185,Construcción,EduKids,70.72,10,4,3.8,3564,2021-09-26 09:45:03,0
186,Tecnología,MegaPlay,90.21,11,850,4.4,1389,2020-09-15 07:00:17,0
187,Mesa,MegaPlay,93.23,5,1402,4.2,3401,2021-02-08 12:38:06,0
188,Construcción,MegaPlay,99.62,5,77,3.5,4321,2023-10-17 08:31:15,0
189,Educativos,FunLab,90.58,13,1433,3.0,824,2022-01-07 00:15:17,0
190,Exterior,FunLab,83.32,4,573,4.1,2265,2018-11-11 22:06:02,0
191,Educativos,FunLab,32.31,12,131,3.6,936,2021-03-02 05:41:46,0
192,Construcción,EduKids,51.03,5,600,2.8,2800,2019-10-27 07:20:48,0
193,Exterior,StarFun,59.94,5,1065,4.8,2553,2021-07-03 09:01:49,1
194,Mesa,HappyBlocks,14.53,7,88,4.2,3845,2021-07-19 08:16:43,0
195,Construcción,MegaPlay,65.76,7,401,4.2,1796,2022-04-06 01:07:03,0
196,Educativos,MegaPlay,55.18,4,295,4.6,53,2023-12-16 19:43:24,0
197,Muñecos,EduKids,97.24,14,1318,3.8,726,2018-11-01 00:34:28,0
198,Tecnología,MegaPlay,117.46,12,615,4.5,2736,2022-09-13 05:20:46,0
199,Educativos,FunLab,68.94,8,799,3.7,3170,2024-02-02 09:45:51,0
200,Exterior,HappyBlocks,42.11,7,421,2.7,1913,2024-02-09 00:10:12,0
